category	ngram	model	epoch	metric	value
politics_comedy	1	cnn	0	loss	0.8034610748291016
politics_comedy	1	cnn	0	accuracy	0.5674107193946838
politics_comedy	1	cnn	0	precision	nan
politics_comedy	1	cnn	0	recall	0.014074074476957322
politics_comedy	1	cnn	1	loss	0.7400706887245179
politics_comedy	1	cnn	1	accuracy	0.5236607193946838
politics_comedy	1	cnn	1	precision	0.2946031779050827
politics_comedy	1	cnn	1	recall	0.23925926089286803
politics_comedy	1	cnn	2	loss	1.014999234676361
politics_comedy	1	cnn	2	accuracy	0.43571428656578065
politics_comedy	1	cnn	2	precision	0.41891982555389407
politics_comedy	1	cnn	2	recall	0.9096187233924866
politics_comedy	1	cnn	3	loss	2.750715160369873
politics_comedy	1	cnn	3	accuracy	0.4184523820877075
politics_comedy	1	cnn	3	precision	0.4184523820877075
politics_comedy	1	cnn	3	recall	1.0
politics_comedy	1	cnn	4	loss	1.054629111289978
politics_comedy	1	cnn	4	accuracy	0.4830357193946838
politics_comedy	1	cnn	4	precision	0.43782234787940977
politics_comedy	1	cnn	4	recall	0.8725925803184509
politics_comedy	1	cnn	test	loss	0.9829427003860474
politics_comedy	1	cnn	test	accuracy	0.4734848539034526
politics_comedy	1	cnn	test	precision	0.4531339108943939
politics_comedy	1	cnn	test	recall	0.7324527502059937
politics_comedy	1	wordembavg_2linear	0	loss	0.7270813226699829
politics_comedy	1	wordembavg_2linear	0	accuracy	0.5815476179122925
politics_comedy	1	wordembavg_2linear	0	precision	nan
politics_comedy	1	wordembavg_2linear	0	recall	0.0
politics_comedy	1	wordembavg_2linear	1	loss	0.6844457745552063
politics_comedy	1	wordembavg_2linear	1	accuracy	0.5815476179122925
politics_comedy	1	wordembavg_2linear	1	precision	nan
politics_comedy	1	wordembavg_2linear	1	recall	0.0
politics_comedy	1	wordembavg_2linear	2	loss	0.6853326201438904
politics_comedy	1	wordembavg_2linear	2	accuracy	0.5815476179122925
politics_comedy	1	wordembavg_2linear	2	precision	nan
politics_comedy	1	wordembavg_2linear	2	recall	0.0
politics_comedy	1	wordembavg_2linear	3	loss	0.7036728382110595
politics_comedy	1	wordembavg_2linear	3	accuracy	0.5815476179122925
politics_comedy	1	wordembavg_2linear	3	precision	nan
politics_comedy	1	wordembavg_2linear	3	recall	0.0
politics_comedy	1	wordembavg_2linear	4	loss	0.6900911092758178
politics_comedy	1	wordembavg_2linear	4	accuracy	0.5815476179122925
politics_comedy	1	wordembavg_2linear	4	precision	nan
politics_comedy	1	wordembavg_2linear	4	recall	0.0
politics_comedy	1	wordembavg_2linear	test	loss	0.7005098660786947
politics_comedy	1	wordembavg_2linear	test	accuracy	0.5629734893639883
politics_comedy	1	wordembavg_2linear	test	precision	nan
politics_comedy	1	wordembavg_2linear	test	recall	0.025641026596228283
politics_comedy	1	lstm	0	loss	0.6825112581253052
politics_comedy	1	lstm	0	accuracy	0.5815476179122925
politics_comedy	1	lstm	0	precision	nan
politics_comedy	1	lstm	0	recall	0.0
politics_comedy	1	lstm	1	loss	0.6799774885177612
politics_comedy	1	lstm	1	accuracy	0.5815476179122925
politics_comedy	1	lstm	1	precision	nan
politics_comedy	1	lstm	1	recall	0.0
politics_comedy	1	lstm	2	loss	0.6842823624610901
politics_comedy	1	lstm	2	accuracy	0.5815476179122925
politics_comedy	1	lstm	2	precision	nan
politics_comedy	1	lstm	2	recall	0.0
politics_comedy	1	lstm	3	loss	0.7987451076507568
politics_comedy	1	lstm	3	accuracy	0.4559523820877075
politics_comedy	1	lstm	3	precision	0.39131230115890503
politics_comedy	1	lstm	3	recall	0.5374618828296661
politics_comedy	1	lstm	4	loss	0.9629340887069702
politics_comedy	1	lstm	4	accuracy	0.48110119104385374
politics_comedy	1	lstm	4	precision	0.42134310603141784
politics_comedy	1	lstm	4	recall	0.6358061075210572
politics_comedy	1	lstm	test	loss	0.9059179822603861
politics_comedy	1	lstm	test	accuracy	0.5047348539034525
politics_comedy	1	lstm	test	precision	0.46699926257133484
politics_comedy	1	lstm	test	recall	0.6982215245564779
politics_education	1	cnn	0	loss	2.6957221627235413
politics_education	1	cnn	0	accuracy	0.5015624985098839
politics_education	1	cnn	0	precision	0.5015624985098839
politics_education	1	cnn	0	recall	1.0
politics_education	1	cnn	1	loss	0.7581144422292709
politics_education	1	cnn	1	accuracy	0.42890625074505806
politics_education	1	cnn	1	precision	0.46110382303595543
politics_education	1	cnn	1	recall	0.6647264286875725
politics_education	1	cnn	2	loss	2.334174782037735
politics_education	1	cnn	2	accuracy	0.5015624985098839
politics_education	1	cnn	2	precision	0.5015624985098839
politics_education	1	cnn	2	recall	1.0
politics_education	1	cnn	3	loss	1.7714965045452118
politics_education	1	cnn	3	accuracy	0.4984374940395355
politics_education	1	cnn	3	precision	nan
politics_education	1	cnn	3	recall	0.0
politics_education	1	cnn	4	loss	4.159708261489868
politics_education	1	cnn	4	accuracy	0.5015624985098839
politics_education	1	cnn	4	precision	0.5015624985098839
politics_education	1	cnn	4	recall	1.0
politics_education	1	cnn	test	loss	3.54692280292511
politics_education	1	cnn	test	accuracy	0.5866815447807312
politics_education	1	cnn	test	precision	0.5866815447807312
politics_education	1	cnn	test	recall	1.0
politics_education	1	wordembavg_2linear	0	loss	0.8084730356931686
politics_education	1	wordembavg_2linear	0	accuracy	0.5015624985098839
politics_education	1	wordembavg_2linear	0	precision	0.5015624985098839
politics_education	1	wordembavg_2linear	0	recall	1.0
politics_education	1	wordembavg_2linear	1	loss	0.6954412907361984
politics_education	1	wordembavg_2linear	1	accuracy	0.5015624985098839
politics_education	1	wordembavg_2linear	1	precision	0.5015624985098839
politics_education	1	wordembavg_2linear	1	recall	1.0
politics_education	1	wordembavg_2linear	2	loss	0.7428329885005951
politics_education	1	wordembavg_2linear	2	accuracy	0.5015624985098839
politics_education	1	wordembavg_2linear	2	precision	0.5015624985098839
politics_education	1	wordembavg_2linear	2	recall	1.0
politics_education	1	wordembavg_2linear	3	loss	0.7147410064935684
politics_education	1	wordembavg_2linear	3	accuracy	0.5015624985098839
politics_education	1	wordembavg_2linear	3	precision	0.5015624985098839
politics_education	1	wordembavg_2linear	3	recall	1.0
politics_education	1	wordembavg_2linear	4	loss	0.7411568611860275
politics_education	1	wordembavg_2linear	4	accuracy	0.5015624985098839
politics_education	1	wordembavg_2linear	4	precision	0.5015624985098839
politics_education	1	wordembavg_2linear	4	recall	1.0
politics_education	1	wordembavg_2linear	test	loss	0.6911160349845886
politics_education	1	wordembavg_2linear	test	accuracy	0.5866815447807312
politics_education	1	wordembavg_2linear	test	precision	0.5866815447807312
politics_education	1	wordembavg_2linear	test	recall	1.0
politics_education	1	lstm	0	loss	0.9410970956087112
politics_education	1	lstm	0	accuracy	0.5015624985098839
politics_education	1	lstm	0	precision	0.5015624985098839
politics_education	1	lstm	0	recall	1.0
